fold_id,strategy,haircut,status,bets,wins,win_pct,initial_bankroll,final_bankroll,bankroll_profit,bankroll_return_pct,total_staked,yield_pct,unit_profit,unit_staked,unit_yield_pct,max_drawdown_pct,profit_factor,avg_implied_probability,skip_reason
2,market_favorite,0.01,completed,32,25,78.125,1000.0,1090.155348,90.155348,9.015535,331.600171,27.187968,8.727659,32.0,27.273935,1.99,2.240787,0.609595,
2,market_underdog,0.01,completed,32,7,21.875,1000.0,847.241481,-152.758519,-15.275852,298.202695,-51.226404,-16.374743,32.0,-51.171071,15.877475,0.343933,0.426689,
2,home_side,0.01,completed,32,22,68.75,1000.0,1051.200865,51.200865,5.120087,327.783987,15.620307,5.103619,32.0,15.948808,2.445614,1.497497,0.576657,
2,away_side,0.01,completed,32,10,31.25,1000.0,878.890411,-121.109589,-12.110959,301.530033,-40.165017,-12.750702,32.0,-39.845945,13.498074,0.417371,0.459627,
2,hodge_only_side,0.01,completed,32,14,43.75,1000.0,933.776206,-66.223794,-6.622379,309.01171,-21.430836,-6.703144,32.0,-20.947326,7.285451,0.620508,0.498515,
2,contrarian_side,0.01,completed,32,18,56.25,1000.0,989.402751,-10.597249,-1.059725,319.683438,-3.31492,-0.943939,32.0,-2.949811,3.715875,0.924609,0.537769,
2,odds_band_random_seed_7,0.01,completed,32,18,56.25,1000.0,1041.600719,41.600719,4.160072,328.321217,12.670737,4.233327,32.0,13.229146,5.256425,1.287989,0.47813,
2,odds_band_random_seed_17,0.01,completed,32,19,59.375,1000.0,1077.024143,77.024143,7.702414,331.651039,23.224454,7.640348,32.0,23.876088,3.940399,1.564103,0.469553,
2,odds_band_random_seed_29,0.01,completed,32,12,37.5,1000.0,959.983175,-40.016825,-4.001682,316.76299,-12.633049,-3.852454,32.0,-12.038919,5.727953,0.798679,0.466304,
2,market_only_expected_value_calibration,0.01,skipped,0,,,,,,,,0.0,,,0.0,0.0,,,not feasible from closing odds alone because normalized market probabilities produce non-positive raw EV after overround
3,market_favorite,0.01,completed,65,41,63.076923,1000.0,1035.986642,35.986642,3.598664,687.151695,5.237074,3.747258,65.0,5.765013,8.256001,1.14059,0.596307,
3,market_underdog,0.01,completed,65,24,36.923077,1000.0,896.797427,-103.202573,-10.320257,586.763255,-17.588452,-10.490349,65.0,-16.138999,16.596595,0.724085,0.442792,
3,home_side,0.01,completed,65,34,52.307692,1000.0,987.61061,-12.38939,-1.238939,618.20455,-2.004092,-0.964952,65.0,-1.484541,8.682288,0.958231,0.527707,
3,away_side,0.01,completed,65,31,47.692308,1000.0,941.238767,-58.761233,-5.876123,652.113521,-9.01089,-5.778139,65.0,-8.889445,11.484185,0.82796,0.511392,
