fold_id,test_season,haircut,bets,wins,win_pct,initial_bankroll,final_bankroll,bankroll_profit,bankroll_return_pct,total_staked,yield_pct,unit_profit,unit_staked,unit_yield_pct,max_drawdown_pct,profit_factor,avg_implied_probability
2,NHL 2014-15,0.0,32,13,40.625,1000.0,922.409772,-77.590228,-7.759023,308.796895,-25.126622,-7.922368,32.0,-24.7574,8.429775,0.577608,0.484268
2,NHL 2014-15,0.01,32,13,40.625,1000.0,921.397831,-78.602169,-7.860217,308.639625,-25.467297,-8.033144,32.0,-25.103576,8.514498,0.571863,0.484268
2,NHL 2014-15,0.02,32,13,40.625,1000.0,920.386902,-79.613098,-7.96131,308.482454,-25.807982,-8.143921,32.0,-25.449752,8.599151,0.566118,0.484268
2,NHL 2014-15,0.03,32,13,40.625,1000.0,919.376986,-80.623014,-8.062301,308.325383,-26.148679,-8.254697,32.0,-25.795928,8.683731,0.560373,0.484268
3,NHL 2015-16,0.0,65,35,53.846154,1000.0,997.448904,-2.551096,-0.25511,655.886088,-0.388954,0.068058,65.0,0.104704,6.93987,0.991598,0.535996
3,NHL 2015-16,0.01,65,35,53.846154,1000.0,994.482151,-5.517849,-0.551785,654.982114,-0.842443,-0.232623,65.0,-0.357882,7.050454,0.981799,0.535996
3,NHL 2015-16,0.02,65,35,53.846154,1000.0,991.523865,-8.476135,-0.847613,654.079699,-1.295887,-0.533304,65.0,-0.820467,7.160918,0.971998,0.535996
3,NHL 2015-16,0.03,65,35,53.846154,1000.0,988.574025,-11.425975,-1.142598,653.17884,-1.749287,-0.833984,65.0,-1.283053,7.271263,0.962195,0.535996
4,NHL 2016-17,0.0,41,24,58.536585,1000.0,1041.706879,41.706879,4.170688,414.677763,10.05766,4.238897,41.0,10.338773,4.25729,1.241764,0.529434
4,NHL 2016-17,0.01,41,24,58.536585,1000.0,1039.513301,39.513301,3.95133,414.262717,9.538223,4.026508,41.0,9.820751,4.273294,1.229268,0.529434
4,NHL 2016-17,0.02,41,24,58.536585,1000.0,1037.324129,37.324129,3.732413,413.848241,9.018796,3.814119,41.0,9.302729,4.289298,1.216773,0.529434
4,NHL 2016-17,0.03,41,24,58.536585,1000.0,1035.139356,35.139356,3.513936,413.434333,8.49938,3.60173,41.0,8.784707,4.3053,1.204279,0.529434
5,NHL 2017-18,0.0,68,40,58.823529,1000.0,1095.020754,95.020754,9.502075,694.897892,13.67406,9.365628,68.0,13.772983,5.057523,1.332317,0.528522
5,NHL 2017-18,0.01,68,40,58.823529,1000.0,1090.972999,90.972999,9.0973,693.678257,13.114581,8.991972,68.0,13.223488,5.084674,1.31866,0.528522
5,NHL 2017-18,0.02,68,40,58.823529,1000.0,1086.939716,86.939716,8.693972,692.461446,12.555171,8.618316,68.0,12.673994,5.111819,1.30501,0.528522
5,NHL 2017-18,0.03,68,40,58.823529,1000.0,1082.920856,82.920856,8.292086,691.247451,11.995828,8.244659,68.0,12.124499,5.138958,1.291367,0.528522
6,NHL 2018-19,0.0,43,24,55.813953,1000.0,1039.869106,39.869106,3.986911,443.111985,8.997524,4.120251,43.0,9.581978,4.982181,1.202472,0.526645
6,NHL 2018-19,0.01,43,24,55.813953,1000.0,1037.492308,37.492308,3.749231,442.586168,8.471188,3.889048,43.0,9.044298,5.000475,1.190642,0.526645
6,NHL 2018-19,0.02,43,24,55.813953,1000.0,1035.120667,35.120667,3.512067,442.061127,7.944754,3.657846,43.0,8.506618,5.018766,1.178809,0.526645
6,NHL 2018-19,0.03,43,24,55.813953,1000.0,1032.754174,32.754174,3.275417,441.53686,7.41822,3.426643,43.0,7.968938,5.037056,1.166971,0.526645
7,NHL 2019-20,0.0,45,25,55.555556,1000.0,1053.536506,53.536506,5.353651,469.320237,11.407244,5.415717,45.0,12.034928,3.548399,1.255024,0.504072
7,NHL 2019-20,0.01,45,25,55.555556,1000.0,1050.888739,50.888739,5.088874,468.695699,10.857522,5.16156,45.0,11.470134,3.571617,1.24276,0.504072
7,NHL 2019-20,0.02,45,25,55.555556,1000.0,1048.247287,48.247287,4.824729,468.072178,10.30766,4.907403,45.0,10.90534,3.594832,1.23049,0.504072
7,NHL 2019-20,0.03,45,25,55.555556,1000.0,1045.612134,45.612134,4.561213,467.449672,9.757657,4.653246,45.0,10.340547,3.618044,1.218215,0.504072
8,NHL 2021,0.0,31,21,67.741935,1000.0,1084.374978,84.374978,8.437498,324.636454,25.990605,8.226328,31.0,26.536541,1.99,1.796377,0.541163
8,NHL 2021,0.01,31,21,67.741935,1000.0,1082.417905,82.417905,8.24179,324.344602,25.410599,8.044064,31.0,25.948595,1.99,1.778709,0.541163
8,NHL 2021,0.02,31,21,67.741935,1000.0,1080.464154,80.464154,8.046415,324.053094,24.830547,7.861801,31.0,25.360649,1.99,1.761035,0.541163
8,NHL 2021,0.03,31,21,67.741935,1000.0,1078.513721,78.513721,7.851372,323.761932,24.250449,7.679538,31.0,24.772703,1.99,1.743354,0.541163
aggregate,aggregate,0.0,325,182,56.0,1000.0,1246.781036,246.781036,24.678104,3311.822369,7.451518,23.512511,325.0,7.234619,11.911286,1.169713,0.523347
aggregate,aggregate,0.01,325,182,56.0,1000.0,1226.379331,226.379331,22.637933,3285.199517,6.890885,21.847386,325.0,6.722272,12.284308,1.156874,0.523347
aggregate,aggregate,0.02,325,182,56.0,1000.0,1206.309171,206.309171,20.630917,3258.868898,6.330699,20.18226,325.0,6.209926,12.655793,1.144056,0.523347
aggregate,aggregate,0.03,325,182,56.0,1000.0,1186.565208,186.565208,18.656521,3232.826931,5.770962,18.517135,325.0,5.69758,13.025747,1.13126,0.523347
